video,domain,clip_id,start_seconds,end_seconds,duration_seconds,audio_path,video_url,vendor,vendor_model,language_hint,transcript_present,n_segments,words,chars,script_latin,script_arabic,script_other,uwr,trailing_3g,max_consec_rep,classification,notes
salaf_lecture,religious_lecture,clip01,843,903,60,audio/salaf_lecture/clip01.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,assemblyai,universal-2,so,True,15,15,73,0.0,1.0,0.0,1.0,0,1,cross-lingual misroute,
salaf_lecture,religious_lecture,clip01,843,903,60,audio/salaf_lecture/clip01.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,deepgram,nova-2,multi (so rejected with 400),True,0,0,0,0.0,0.0,0.0,0.0,0,0,empty,
salaf_lecture,religious_lecture,clip02,175,235,60,audio/salaf_lecture/clip02.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,elevenlabs,scribe_v1,som,True,112,112,660,1.0,0.0,0.0,0.7589,1,1,surface-usable,
salaf_lecture,religious_lecture,clip02,175,235,60,audio/salaf_lecture/clip02.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,whisper,"large-v3 (faster-whisper, local)",so,True,24,137,807,1.0,0.0,0.0,0.6496,2,4,trailing loop,
salaf_lecture,religious_lecture,clip02,175,235,60,audio/salaf_lecture/clip02.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,assemblyai,universal-2,so,True,57,57,298,0.0,1.0,0.0,0.8596,1,1,cross-lingual misroute,
salaf_lecture,religious_lecture,clip02,175,235,60,audio/salaf_lecture/clip02.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,deepgram,nova-2,multi (so rejected with 400),False,,,,,,,,,,not_run,Deepgram batch terminated after 3 hung calls; failure mode established on completed clips.
salaf_lecture,religious_lecture,clip03,380,440,60,audio/salaf_lecture/clip03.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,elevenlabs,scribe_v1,som,True,103,103,698,1.0,0.0,0.0,0.875,1,1,surface-usable,
salaf_lecture,religious_lecture,clip03,380,440,60,audio/salaf_lecture/clip03.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,whisper,"large-v3 (faster-whisper, local)",so,True,29,112,717,1.0,0.0,0.0,0.6726,2,1,surface-usable,
salaf_lecture,religious_lecture,clip03,380,440,60,audio/salaf_lecture/clip03.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,assemblyai,universal-2,so,True,78,78,408,0.0,1.0,0.0,0.6923,1,1,cross-lingual misroute,
salaf_lecture,religious_lecture,clip03,380,440,60,audio/salaf_lecture/clip03.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,deepgram,nova-2,multi (so rejected with 400),False,,,,,,,,,,not_run,Deepgram batch terminated after 3 hung calls; failure mode established on completed clips.
salaf_lecture,religious_lecture,clip04,470,530,60,audio/salaf_lecture/clip04.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,elevenlabs,scribe_v1,som,True,99,99,665,1.0,0.0,0.0,0.8788,1,1,surface-usable,
salaf_lecture,religious_lecture,clip04,470,530,60,audio/salaf_lecture/clip04.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,whisper,"large-v3 (faster-whisper, local)",so,True,11,104,671,1.0,0.0,0.0,0.8654,1,1,surface-usable,
salaf_lecture,religious_lecture,clip04,470,530,60,audio/salaf_lecture/clip04.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,assemblyai,universal-2,so,True,96,96,533,0.0,1.0,0.0,0.3958,2,1,cross-lingual misroute,
salaf_lecture,religious_lecture,clip04,470,530,60,audio/salaf_lecture/clip04.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,deepgram,nova-2,multi (so rejected with 400),False,,,,,,,,,,not_run,Deepgram batch terminated after 3 hung calls; failure mode established on completed clips.
salaf_lecture,religious_lecture,clip05,614,674,60,audio/salaf_lecture/clip05.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,elevenlabs,scribe_v1,som,True,116,116,789,1.0,0.0,0.0,0.8362,1,1,surface-usable,
salaf_lecture,religious_lecture,clip05,614,674,60,audio/salaf_lecture/clip05.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,whisper,"large-v3 (faster-whisper, local)",so,True,19,132,861,1.0,0.0,0.0,0.6515,2,1,surface-usable,
salaf_lecture,religious_lecture,clip05,614,674,60,audio/salaf_lecture/clip05.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,assemblyai,universal-2,so,True,58,58,293,0.0,1.0,0.0,0.8276,5,8,cross-lingual misroute,
salaf_lecture,religious_lecture,clip05,614,674,60,audio/salaf_lecture/clip05.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,deepgram,nova-2,multi (so rejected with 400),False,,,,,,,,,,not_run,Deepgram batch terminated after 3 hung calls; failure mode established on completed clips.
salaf_lecture,religious_lecture,clip06,992,1052,60,audio/salaf_lecture/clip06.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,elevenlabs,scribe_v1,som,True,114,114,741,1.0,0.0,0.0,0.8158,1,1,surface-usable,
salaf_lecture,religious_lecture,clip06,992,1052,60,audio/salaf_lecture/clip06.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,whisper,"large-v3 (faster-whisper, local)",so,True,19,127,743,1.0,0.0,0.0,0.7323,1,2,surface-usable,
salaf_lecture,religious_lecture,clip06,992,1052,60,audio/salaf_lecture/clip06.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,assemblyai,universal-2,so,True,57,57,309,0.0,1.0,0.0,0.8421,1,1,cross-lingual misroute,
salaf_lecture,religious_lecture,clip06,992,1052,60,audio/salaf_lecture/clip06.wav,https://www.youtube.com/watch?v=qbvgFT5O_d4,deepgram,nova-2,multi (so rejected with 400),False,,,,,,,,,,not_run,Deepgram batch terminated after 3 hung calls; failure mode established on completed clips.
